Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
JPM260501P00310000,2.4,2.46,2.72,2026-04-27 15:55:51.000000,2026-05-01,310.0,put,1052.0,477.0,0.2637,311.61,0.045,0.045,0.045
JPM260501C00312500,3.05,2.91,3.15,2026-04-27 15:59:55.000000,2026-05-01,312.5,call,1258.0,1546.0,0.2542,311.61,0.045,0.045,0.045
JPM260501P00312500,3.35,3.6,3.85,2026-04-27 15:31:03.000000,2026-05-01,312.5,put,181.0,126.0,0.2538,311.61,0.045,0.045,0.045
JPM260501C00315000,1.88,1.87,2.03,2026-04-27 15:59:45.000000,2026-05-01,315.0,call,2073.0,1817.0,0.2527,311.61,0.045,0.045,0.045
JPM260501P00315000,6.2,5.0,5.3,2026-04-27 11:12:15.000000,2026-05-01,315.0,put,187.0,3.0,0.2468,311.61,0.045,0.045,0.045
JPM260501C00317500,1.17,1.12,1.23,2026-04-27 15:59:45.000000,2026-05-01,317.5,call,1953.0,1312.0,0.249,311.61,0.045,0.045,0.045
JPM260501P00317500,7.85,6.55,7.1,2026-04-27 13:13:37.000000,2026-05-01,317.5,put,268.0,50.0,0.2346,311.61,0.045,0.045,0.045
JPM260501C00320000,0.71,0.66,0.71,2026-04-27 15:58:55.000000,2026-05-01,320.0,call,4390.0,3245.0,0.2475,311.61,0.045,0.045,0.045
JPM260501P00320000,8.2,8.05,9.25,2026-04-27 15:20:58.000000,2026-05-01,320.0,put,34.0,1.0,0.1975,311.61,0.045,0.045,0.045
JPM260501C00322500,0.36,0.35,0.39,2026-04-27 15:59:28.000000,2026-05-01,322.5,call,464.0,518.0,0.2476,311.61,0.045,0.045,0.045
JPM260501P00322500,6.27,10.8,11.6,2026-04-21 09:46:48.000000,2026-05-01,322.5,put,1.0,0.0,0.2484,311.61,0.045,0.045,0.045
JPM260501C00325000,0.2,0.19,0.21,2026-04-27 15:59:50.000000,2026-05-01,325.0,call,1207.0,567.0,0.2502,311.61,0.045,0.045,0.045
JPM260501C00327500,0.12,0.1,0.12,2026-04-27 15:55:38.000000,2026-05-01,327.5,call,528.0,524.0,0.2551,311.61,0.045,0.045,0.045
JPM260501C00330000,0.07,0.05,0.09,2026-04-27 15:38:02.000000,2026-05-01,330.0,call,1961.0,327.0,0.267,311.61,0.045,0.045,0.045
