Contract Symbol,Last Price,Bid,Ask,Last Trade Date,Expiry,Strike,Option Type,Open Interest,Volume,Implied Volatility,Spot Price,Discount Rate,Direct Discount Rate,Smooth Discount Rate
AAPL260429C00287500,0.02,0.01,0.03,2026-04-27 15:59:45.000000,2026-04-29,287.5,call,1013.0,630.0,0.3974,267.8699,0.045,0.045,0.045
AAPL260429P00287500,17.0,18.15,21.95,2026-04-24 12:52:00.000000,2026-04-29,287.5,put,9.0,0.0,0.5114,267.8699,0.045,0.045,0.045
AAPL260429C00290000,0.02,0.01,0.02,2026-04-27 15:59:58.000000,2026-04-29,290.0,call,1167.0,999.0,0.4249,267.8699,0.045,0.045,0.045
AAPL260429P00290000,22.35,20.65,24.15,2026-04-27 15:49:35.000000,2026-04-29,290.0,put,2.0,1.0,0.936886243766767,267.8699,0.045,0.045,0.045
AAPL260429C00292500,0.01,0.01,0.03,2026-04-27 15:49:55.000000,2026-04-29,292.5,call,15.0,77.0,0.48,267.8699,0.045,0.045,0.045
AAPL260429P00292500,0.0,23.2,26.95,2026-04-28 13:23:34.030491,2026-04-29,292.5,put,0.0,0.0,0.6322,267.8699,0.045,0.045,0.045
AAPL260429C00295000,0.01,0.0,0.01,2026-04-27 15:57:12.000000,2026-04-29,295.0,call,1719.0,187.0,0.453,267.8699,0.045,0.045,0.045
AAPL260429P00295000,23.0,25.8,29.45,2026-04-23 15:54:43.000000,2026-04-29,295.0,put,0.0,0.0,0.7186,267.8699,0.045,0.045,0.045
AAPL260429C00297500,0.01,0.0,0.01,2026-04-27 14:37:55.000000,2026-04-29,297.5,call,101.0,72.0,0.4884,267.8699,0.045,0.045,0.045
AAPL260429P00297500,0.0,29.0,31.7,2026-04-28 13:23:34.030586,2026-04-29,297.5,put,0.0,0.0,0.8902,267.8699,0.045,0.045,0.045
AAPL260429C00300000,0.01,0.0,0.01,2026-04-27 15:46:59.000000,2026-04-29,300.0,call,4895.0,151.0,0.5233,267.8699,0.045,0.045,0.045
AAPL260429P00300000,29.8,31.0,34.2,2026-04-24 14:15:12.000000,2026-04-29,300.0,put,8.0,0.0,0.7993,267.8699,0.045,0.045,0.045
AAPL260429C00305000,0.01,0.0,0.01,2026-04-27 11:48:45.000000,2026-04-29,305.0,call,77.0,23.0,0.5916,267.8699,0.045,0.045,0.045
AAPL260429P00305000,0.0,35.8,39.25,2026-04-28 13:23:34.030662,2026-04-29,305.0,put,0.0,0.0,0.8113,267.8699,0.045,0.045,0.045
AAPL260429C00310000,0.01,0.0,0.01,2026-04-27 10:28:05.000000,2026-04-29,310.0,call,750.0,166.0,0.6582,267.8699,0.045,0.045,0.045
AAPL260429P00310000,43.8,41.5,44.2,2026-04-21 13:06:17.000000,2026-04-29,310.0,put,0.0,0.0,1.153,267.8699,0.045,0.045,0.045
AAPL260429C00315000,0.03,0.0,0.01,2026-04-22 15:52:13.000000,2026-04-29,315.0,call,25.0,0.0,0.723,267.8699,0.045,0.045,0.045
AAPL260429P00315000,0.0,46.0,49.2,2026-04-28 13:23:34.030731,2026-04-29,315.0,put,0.0,0.0,1.0737,267.8699,0.045,0.045,0.045
AAPL260429C00320000,0.07,0.0,0.01,2026-04-27 12:36:24.000000,2026-04-29,320.0,call,2.0,1.0,0.7864,267.8699,0.045,0.045,0.045
AAPL260429P00320000,0.0,51.05,54.2,2026-04-28 13:23:34.030766,2026-04-29,320.0,put,0.0,0.0,1.1855,267.8699,0.045,0.045,0.045
AAPL260429C00325000,0.03,0.0,0.01,2026-04-27 12:36:24.000000,2026-04-29,325.0,call,2.0,1.0,0.8483,267.8699,0.045,0.045,0.045
AAPL260429P00325000,0.0,55.65,59.25,2026-04-28 13:23:34.033435,2026-04-29,325.0,put,0.0,0.0,1.9702887917629046,267.8699,0.045,0.045,0.045
AAPL260429C00330000,0.01,0.0,0.01,2026-04-27 09:42:36.000000,2026-04-29,330.0,call,21.0,2.0,0.9088,267.8699,0.045,0.045,0.045
AAPL260429P00330000,0.0,60.45,64.25,2026-04-28 13:23:34.036215,2026-04-29,330.0,put,0.0,0.0,1.9886955136475004,267.8699,0.045,0.045,0.045
AAPL260501C00110000,156.86,156.45,158.95,2026-04-27 15:27:07.000000,2026-05-01,110.0,call,6.0,6.0,3.2828,267.8699,0.045,0.045,0.045
AAPL260501P00110000,0.01,0.0,0.01,2026-04-15 11:03:33.000000,2026-05-01,110.0,put,100.0,0.0,2.5573,267.8699,0.045,0.045,0.045
